,0,pair,metric
gemba_all_literary-src,0.6423455884175163,en-de,segment-level_Kendall
gemba_all_orig-src,0.6388454437852422,en-de,segment-level_Kendall
comet_xxl-src,0.5820011212189704,en-de,segment-level_Kendall
half_train_df_fr_en_20250320_1616213150-src,0.5546077359032969,en-de,segment-level_Kendall
comet_xl-src,0.5231551853985927,en-de,segment-level_Kendall
half_train_df_fr_en_20250320_16162112500-src,0.5055062664820444,en-de,segment-level_Kendall
half_train_df_xxen_20250320_1639076150-src,0.5001057846532411,en-de,segment-level_Kendall
half_train_df_xxen_20250320_16390712500-src,0.4642969502722947,en-de,segment-level_Kendall
half_train_df_20250321_11562622350-src,0.4624604209511923,en-de,segment-level_Kendall
half_train_df_20250321_11562610050-src,0.4293972101586078,en-de,segment-level_Kendall
prometheus-src,0.3044103234246702,en-de,segment-level_Kendall
gemba_all_literary-src,0.47445138377212137,de-en,segment-level_Kendall
gemba_all_orig-src,0.46023079385424576,de-en,segment-level_Kendall
comet_xxl-src,0.3202341717462991,de-en,segment-level_Kendall
comet_xl-src,0.2905961561001232,de-en,segment-level_Kendall
half_train_df_xxen_20250320_16390712500-src,0.27026839304533895,de-en,segment-level_Kendall
half_train_df_xxen_20250320_1639076150-src,0.2700901215851551,de-en,segment-level_Kendall
half_train_df_fr_en_20250320_16162112500-src,0.2649647075728236,de-en,segment-level_Kendall
half_train_df_fr_en_20250320_1616213150-src,0.2644544018699809,de-en,segment-level_Kendall
half_train_df_20250321_11562622350-src,0.2514618197367075,de-en,segment-level_Kendall
half_train_df_20250321_11562610050-src,0.2410930909360528,de-en,segment-level_Kendall
prometheus-src,0.1668749906778058,de-en,segment-level_Kendall
gemba_all_orig-src,0.5803252018147752,en-zh,segment-level_Kendall
half_train_df_fr_en_20250320_1616213150-src,0.5780001252473322,en-zh,segment-level_Kendall
gemba_all_literary-src,0.5718991824461905,en-zh,segment-level_Kendall
half_train_df_xxen_20250320_1639076150-src,0.5161391922164944,en-zh,segment-level_Kendall
half_train_df_xxen_20250320_16390712500-src,0.5142360261004009,en-zh,segment-level_Kendall
comet_xl-src,0.4996430267204503,en-zh,segment-level_Kendall
half_train_df_fr_en_20250320_16162112500-src,0.4775121137151255,en-zh,segment-level_Kendall
comet_xxl-src,0.47172285944928966,en-zh,segment-level_Kendall
half_train_df_20250321_11562610050-src,0.4316341526091147,en-zh,segment-level_Kendall
half_train_df_20250321_11562622350-src,0.3824364911967236,en-zh,segment-level_Kendall
prometheus-src,0.2430400331243695,en-zh,segment-level_Kendall
gemba_all_orig-src,0.5314473999044554,de-zh,segment-level_Kendall
gemba_all_literary-src,0.5025978017910038,de-zh,segment-level_Kendall
half_train_df_fr_en_20250320_16162112500-src,0.29095736332593325,de-zh,segment-level_Kendall
half_train_df_fr_en_20250320_1616213150-src,0.25867659360946016,de-zh,segment-level_Kendall
half_train_df_xxen_20250320_16390712500-src,0.25732116244073683,de-zh,segment-level_Kendall
half_train_df_xxen_20250320_1639076150-src,0.2483913107722275,de-zh,segment-level_Kendall
prometheus-src,0.21150791436972796,de-zh,segment-level_Kendall
half_train_df_20250321_11562610050-src,0.19824341794994277,de-zh,segment-level_Kendall
comet_xl-src,0.15524489627360846,de-zh,segment-level_Kendall
comet_xxl-src,0.15066231777148742,de-zh,segment-level_Kendall
half_train_df_20250321_11562622350-src,0.0939696579981716,de-zh,segment-level_Kendall
comet_xxl-src,0.6046915703519942,en-de,acc_eq
gemba_all_orig-src,0.5796187415406887,en-de,acc_eq
comet_xl-src,0.5618233547687148,en-de,acc_eq
gemba_all_literary-src,0.5520442578405454,en-de,acc_eq
half_train_df_xxen_20250320_16390712500-src,0.5478575399482043,en-de,acc_eq
half_train_df_20250321_11562622350-src,0.5276559085408998,en-de,acc_eq
half_train_df_fr_en_20250320_16162112500-src,0.5229922185031679,en-de,acc_eq
half_train_df_20250321_11562610050-src,0.5076084305324677,en-de,acc_eq
half_train_df_xxen_20250320_1639076150-src,0.5063387026461872,en-de,acc_eq
half_train_df_fr_en_20250320_1616213150-src,0.28258972190389176,en-de,acc_eq
prometheus-src,0.23045742022310525,en-de,acc_eq
comet_xxl-src,0.5040674849035711,de-en,acc_eq
comet_xl-src,0.4862584153028047,de-en,acc_eq
gemba_all_orig-src,0.4803811231175447,de-en,acc_eq
half_train_df_xxen_20250320_1639076150-src,0.45637475012335055,de-en,acc_eq
gemba_all_literary-src,0.43923925509827805,de-en,acc_eq
half_train_df_20250321_11562622350-src,0.43914357294778994,de-en,acc_eq
half_train_df_xxen_20250320_16390712500-src,0.43007254549162255,de-en,acc_eq
half_train_df_20250321_11562610050-src,0.42740867583842934,de-en,acc_eq
half_train_df_fr_en_20250320_16162112500-src,0.42230246101191304,de-en,acc_eq
prometheus-src,0.22181756819828133,de-en,acc_eq
half_train_df_fr_en_20250320_1616213150-src,0.18491108124570615,de-en,acc_eq
half_train_df_xxen_20250320_1639076150-src,0.5895834134374486,en-zh,acc_eq
half_train_df_xxen_20250320_16390712500-src,0.583992149537748,en-zh,acc_eq
comet_xl-src,0.5760879297729509,en-zh,acc_eq
comet_xxl-src,0.5682517004210638,en-zh,acc_eq
half_train_df_20250321_11562610050-src,0.5565230656410705,en-zh,acc_eq
gemba_all_orig-src,0.536720224058481,en-zh,acc_eq
half_train_df_fr_en_20250320_16162112500-src,0.5365885863080349,en-zh,acc_eq
gemba_all_literary-src,0.5333509389840159,en-zh,acc_eq
half_train_df_20250321_11562622350-src,0.5168243650099914,en-zh,acc_eq
half_train_df_fr_en_20250320_1616213150-src,0.4197721179219003,en-zh,acc_eq
